stimulus_name,youtube_id,start_ms,end_ms,start_sec,end_sec,duration_sec
vggtest_-Wd5YV97ftU_320000_330000,-Wd5YV97ftU,320000,330000,320.0,330.0,10.0
vggtest_-XwtCzUaN1I_160000_170000,-XwtCzUaN1I,160000,170000,160.0,170.0,10.0
vggtest_-Y8sJDoL1YA_15000_25000,-Y8sJDoL1YA,15000,25000,15.0,25.0,10.0
vggtest_-_f_ClsDxyc_80000_90000,-_f_ClsDxyc,80000,90000,80.0,90.0,10.0
vggtest_-aK9JKAGme0_51000_61000,-aK9JKAGme0,51000,61000,51.0,61.0,10.0
vggtest_-aUJLRXkj-Y_118000_128000,-aUJLRXkj-Y,118000,128000,118.0,128.0,10.0
vggtest_-aXWYfAdovc_230000_240000,-aXWYfAdovc,230000,240000,230.0,240.0,10.0
vggtest_-b42018ceoE_78000_88000,-b42018ceoE,78000,88000,78.0,88.0,10.0
vggtest_-c6baaENcjA_204000_214000,-c6baaENcjA,204000,214000,204.0,214.0,10.0
vggtest_-cA9HsnV1ao_30000_40000,-cA9HsnV1ao,30000,40000,30.0,40.0,10.0
vggtest_-dRucPKqTFc_7000_17000,-dRucPKqTFc,7000,17000,7.0,17.0,10.0
vggtest_-e4wXAy1iVo_0_10000,-e4wXAy1iVo,0,10000,0.0,10.0,10.0
vggtest_-f1DNyngKVY_30000_40000,-f1DNyngKVY,30000,40000,30.0,40.0,10.0
vggtest_-fAGzY9rnaA_30000_40000,-fAGzY9rnaA,30000,40000,30.0,40.0,10.0
vggtest_-fAVezaAX18_126000_136000,-fAVezaAX18,126000,136000,126.0,136.0,10.0
vggtest_-fmmdkXn5YA_210000_220000,-fmmdkXn5YA,210000,220000,210.0,220.0,10.0
vggtest_-fz6omiAhZ8_40000_50000,-fz6omiAhZ8,40000,50000,40.0,50.0,10.0
vggtest_-gCqnkIUmp0_140000_150000,-gCqnkIUmp0,140000,150000,140.0,150.0,10.0
vggtest_-h5ZGw9Ci5c_450000_460000,-h5ZGw9Ci5c,450000,460000,450.0,460.0,10.0
vggtest_-hA3ZkfDz30_500000_510000,-hA3ZkfDz30,500000,510000,500.0,510.0,10.0
vggtest_-hJ1YTZ5AGI_30000_40000,-hJ1YTZ5AGI,30000,40000,30.0,40.0,10.0
vggtest_-hSwZyPPJTc_75000_85000,-hSwZyPPJTc,75000,85000,75.0,85.0,10.0
vggtest_-hYRFCQdbLg_30000_40000,-hYRFCQdbLg,30000,40000,30.0,40.0,10.0
vggtest_-hedbpc8T0E_30000_40000,-hedbpc8T0E,30000,40000,30.0,40.0,10.0
vggtest_-hfAbHHlj44_30000_40000,-hfAbHHlj44,30000,40000,30.0,40.0,10.0
vggtest_-jA7nRwQp_E_30000_40000,-jA7nRwQp_E,30000,40000,30.0,40.0,10.0
vggtest_-jFSYIHh6zc_30000_40000,-jFSYIHh6zc,30000,40000,30.0,40.0,10.0
vggtest_-jZENGDFArw_80000_90000,-jZENGDFArw,80000,90000,80.0,90.0,10.0
vggtest_-jaY3LS3Dv0_30000_40000,-jaY3LS3Dv0,30000,40000,30.0,40.0,10.0
vggtest_-kWlE2dkoxc_170000_180000,-kWlE2dkoxc,170000,180000,170.0,180.0,10.0
vggtest_-l-E3kyNcag_150000_160000,-l-E3kyNcag,150000,160000,150.0,160.0,10.0
vggtest_-lPXTBXa0tE_30000_40000,-lPXTBXa0tE,30000,40000,30.0,40.0,10.0
vggtest_-mKtgDnG0oM_30000_40000,-mKtgDnG0oM,30000,40000,30.0,40.0,10.0
vggtest_-miI_C3At4Y_104000_114000,-miI_C3At4Y,104000,114000,104.0,114.0,10.0
vggtest_-nDPmlHReow_60000_70000,-nDPmlHReow,60000,70000,60.0,70.0,10.0
vggtest_-nJbGyPg6BY_60000_70000,-nJbGyPg6BY,60000,70000,60.0,70.0,10.0
vggtest_-nQ9a0P1TlY_23000_33000,-nQ9a0P1TlY,23000,33000,23.0,33.0,10.0
vggtest_-na-0NBG5Ow_1000_11000,-na-0NBG5Ow,1000,11000,1.0,11.0,10.0
vggtest_-nlkWWphiaM_30000_40000,-nlkWWphiaM,30000,40000,30.0,40.0,10.0
vggtest_-oOARU0JwWE_153000_163000,-oOARU0JwWE,153000,163000,153.0,163.0,10.0
vggtest_-oSzD8P2BtU_30000_40000,-oSzD8P2BtU,30000,40000,30.0,40.0,10.0
vggtest_-qtYcqvW_oc_330000_340000,-qtYcqvW_oc,330000,340000,330.0,340.0,10.0
vggtest_-r2-9oyIzkQ_30000_40000,-r2-9oyIzkQ,30000,40000,30.0,40.0,10.0
vggtest_-r3nM90RCNs_161000_171000,-r3nM90RCNs,161000,171000,161.0,171.0,10.0
vggtest_-rTTPoBJNI4_123000_133000,-rTTPoBJNI4,123000,133000,123.0,133.0,10.0
vggtest_-s5ZidRvnjQ_250000_260000,-s5ZidRvnjQ,250000,260000,250.0,260.0,10.0
vggtest_-uD3ZbhFTnk_77000_87000,-uD3ZbhFTnk,77000,87000,77.0,87.0,10.0
vggtest_-uaTK8sa5Ms_10000_20000,-uaTK8sa5Ms,10000,20000,10.0,20.0,10.0
vggtest_-wQ8El8J_dE_30000_40000,-wQ8El8J_dE,30000,40000,30.0,40.0,10.0
vggtest_-wnDAPcoPsk_30000_40000,-wnDAPcoPsk,30000,40000,30.0,40.0,10.0
vggtest_-yrglmBmErg_225000_235000,-yrglmBmErg,225000,235000,225.0,235.0,10.0
vggtest_-z4OZ7ls5Bo_540000_550000,-z4OZ7ls5Bo,540000,550000,540.0,550.0,10.0
vggtest_-zwjoyBo2s8_285000_295000,-zwjoyBo2s8,285000,295000,285.0,295.0,10.0
vggtest_0-6N0Qagy5A_10000_20000,0-6N0Qagy5A,10000,20000,10.0,20.0,10.0
vggtest_0-EgET9q3qE_30000_40000,0-EgET9q3qE,30000,40000,30.0,40.0,10.0
vggtest_0-jDld11jhw_164000_174000,0-jDld11jhw,164000,174000,164.0,174.0,10.0
vggtest_0-jDld11jhw_93000_103000,0-jDld11jhw,93000,103000,93.0,103.0,10.0
vggtest_0-o0oZvSFOk_30000_40000,0-o0oZvSFOk,30000,40000,30.0,40.0,10.0
vggtest_00KM53yZi2A_30000_40000,00KM53yZi2A,30000,40000,30.0,40.0,10.0
vggtest_00QQLLcny14_83000_93000,00QQLLcny14,83000,93000,83.0,93.0,10.0
vggtest_00gxEsWO4mo_259000_269000,00gxEsWO4mo,259000,269000,259.0,269.0,10.0
vggtest_00wORCOKNHw_14000_24000,00wORCOKNHw,14000,24000,14.0,24.0,10.0
vggtest_00z0M1DJyAw_90000_100000,00z0M1DJyAw,90000,100000,90.0,100.0,10.0
vggtest_01Iho7loxL0_15000_25000,01Iho7loxL0,15000,25000,15.0,25.0,10.0
vggtest_01SaXyGY5SM_30000_40000,01SaXyGY5SM,30000,40000,30.0,40.0,10.0
vggtest_01j_x89dowI_481000_491000,01j_x89dowI,481000,491000,481.0,491.0,10.0
vggtest_02Ak1eIyj3M_30000_40000,02Ak1eIyj3M,30000,40000,30.0,40.0,10.0
vggtest_05GsUEyThd8_13000_23000,05GsUEyThd8,13000,23000,13.0,23.0,10.0
vggtest_07FxCXxknY4_30000_40000,07FxCXxknY4,30000,40000,30.0,40.0,10.0
vggtest_0B7fwvTtvLM_0_10000,0B7fwvTtvLM,0,10000,0.0,10.0,10.0
vggtest_0BCkxfdk6fk_761000_771000,0BCkxfdk6fk,761000,771000,761.0,771.0,10.0
vggtest_0BauNGmZtTU_250000_260000,0BauNGmZtTU,250000,260000,250.0,260.0,10.0
vggtest_0Br877mW7_c_10000_20000,0Br877mW7_c,10000,20000,10.0,20.0,10.0
vggtest_0CA5CPHRXDc_0_10000,0CA5CPHRXDc,0,10000,0.0,10.0,10.0
vggtest_0CEsVHHkwww_30000_40000,0CEsVHHkwww,30000,40000,30.0,40.0,10.0
vggtest_0CQnnJq9xn0_75000_85000,0CQnnJq9xn0,75000,85000,75.0,85.0,10.0
vggtest_0CTgEP0SIVg_10000_20000,0CTgEP0SIVg,10000,20000,10.0,20.0,10.0
vggtest_0Cl6hXpryhY_30000_40000,0Cl6hXpryhY,30000,40000,30.0,40.0,10.0
vggtest_0Cu33yBwAPg_60000_70000,0Cu33yBwAPg,60000,70000,60.0,70.0,10.0
vggtest_0CzC0-cXe8M_30000_40000,0CzC0-cXe8M,30000,40000,30.0,40.0,10.0
vggtest_0D8KognM4uY_282000_292000,0D8KognM4uY,282000,292000,282.0,292.0,10.0
vggtest_0DOFzYwOoPg_133000_143000,0DOFzYwOoPg,133000,143000,133.0,143.0,10.0
vggtest_0DzsPL-xElE_20000_30000,0DzsPL-xElE,20000,30000,20.0,30.0,10.0
vggtest_0E6KS8B6DMc_540000_550000,0E6KS8B6DMc,540000,550000,540.0,550.0,10.0
vggtest_0F04c_rY4aw_0_10000,0F04c_rY4aw,0,10000,0.0,10.0,10.0
vggtest_0G50t4FlbIA_60000_70000,0G50t4FlbIA,60000,70000,60.0,70.0,10.0
vggtest_0GBi8uR4ZeM_7000_17000,0GBi8uR4ZeM,7000,17000,7.0,17.0,10.0
vggtest_0H2tR-oOvIY_3000_13000,0H2tR-oOvIY,3000,13000,3.0,13.0,10.0
vggtest_0HBJuYt2Eys_32000_42000,0HBJuYt2Eys,32000,42000,32.0,42.0,10.0
vggtest_0HXYdGGKV2k_30000_40000,0HXYdGGKV2k,30000,40000,30.0,40.0,10.0
vggtest_0HbhE91JB-k_360000_370000,0HbhE91JB-k,360000,370000,360.0,370.0,10.0
vggtest_0IzhjqyDzt8_0_10000,0IzhjqyDzt8,0,10000,0.0,10.0,10.0
vggtest_0J_TdiZ3TKA_30000_40000,0J_TdiZ3TKA,30000,40000,30.0,40.0,10.0
vggtest_0Jq6WJLLSIk_4000_14000,0Jq6WJLLSIk,4000,14000,4.0,14.0,10.0
vggtest_0KAeUAAoVnY_143000_153000,0KAeUAAoVnY,143000,153000,143.0,153.0,10.0
vggtest_0KAeUAAoVnY_186000_196000,0KAeUAAoVnY,186000,196000,186.0,196.0,10.0
vggtest_0KIC9xmmD8g_105000_115000,0KIC9xmmD8g,105000,115000,105.0,115.0,10.0
vggtest_0KOPvSUlNjI_180000_190000,0KOPvSUlNjI,180000,190000,180.0,190.0,10.0
vggtest_0LY5zuRlIac_0_10000,0LY5zuRlIac,0,10000,0.0,10.0,10.0
vggtest_0LwSy-xZSPw_112000_122000,0LwSy-xZSPw,112000,122000,112.0,122.0,10.0
vggtest_0MU2SG5ME1E_16000_26000,0MU2SG5ME1E,16000,26000,16.0,26.0,10.0
vggtest_0N3-lCzOQPI_0_10000,0N3-lCzOQPI,0,10000,0.0,10.0,10.0
vggtest_0N6S5OoG7Vg_150000_160000,0N6S5OoG7Vg,150000,160000,150.0,160.0,10.0
vggtest_0N9EN0BEjP0_430000_440000,0N9EN0BEjP0,430000,440000,430.0,440.0,10.0
vggtest_0NZLG7HMiLg_590000_600000,0NZLG7HMiLg,590000,600000,590.0,600.0,10.0
vggtest_0NZQRllfNhE_140000_150000,0NZQRllfNhE,140000,150000,140.0,150.0,10.0
vggtest_0OFlTh2_Obo_30000_40000,0OFlTh2_Obo,30000,40000,30.0,40.0,10.0
vggtest_0OLYyjqNdn4_352000_362000,0OLYyjqNdn4,352000,362000,352.0,362.0,10.0
vggtest_0Olm321vgk8_30000_40000,0Olm321vgk8,30000,40000,30.0,40.0,10.0
vggtest_0PKdFG3iB8w_430000_440000,0PKdFG3iB8w,430000,440000,430.0,440.0,10.0
vggtest_0QSPtpp1HN8_30000_40000,0QSPtpp1HN8,30000,40000,30.0,40.0,10.0
vggtest_0QYedLfOwcI_40000_50000,0QYedLfOwcI,40000,50000,40.0,50.0,10.0
vggtest_0R85JknaH-w_90000_100000,0R85JknaH-w,90000,100000,90.0,100.0,10.0
vggtest_0RZRFj7zDnQ_30000_40000,0RZRFj7zDnQ,30000,40000,30.0,40.0,10.0
vggtest_0Rqa18lmDtw_153000_163000,0Rqa18lmDtw,153000,163000,153.0,163.0,10.0
vggtest_0SnjS2w_c80_520000_530000,0SnjS2w_c80,520000,530000,520.0,530.0,10.0
vggtest_0T39A4knSu4_25000_35000,0T39A4knSu4,25000,35000,25.0,35.0,10.0
vggtest_0T39A4knSu4_57000_67000,0T39A4knSu4,57000,67000,57.0,67.0,10.0
vggtest_0T966F09Q_8_0_10000,0T966F09Q_8,0,10000,0.0,10.0,10.0
vggtest_0TuhcsOwEEs_64000_74000,0TuhcsOwEEs,64000,74000,64.0,74.0,10.0
vggtest_0UJpeR9-ayg_213000_223000,0UJpeR9-ayg,213000,223000,213.0,223.0,10.0
vggtest_0VW4nelMODc_259000_269000,0VW4nelMODc,259000,269000,259.0,269.0,10.0
vggtest_0VW4nelMODc_271000_281000,0VW4nelMODc,271000,281000,271.0,281.0,10.0
vggtest_0W1sNicXboU_60000_70000,0W1sNicXboU,60000,70000,60.0,70.0,10.0
vggtest_0WTf_N9NPDw_23000_33000,0WTf_N9NPDw,23000,33000,23.0,33.0,10.0
vggtest_0Wkk9iNzA9c_30000_40000,0Wkk9iNzA9c,30000,40000,30.0,40.0,10.0
vggtest_0Wxl_LzqguI_288000_298000,0Wxl_LzqguI,288000,298000,288.0,298.0,10.0
vggtest_0XDEooC1h7s_0_10000,0XDEooC1h7s,0,10000,0.0,10.0,10.0
vggtest_0XFFOBzJ3aw_120000_130000,0XFFOBzJ3aw,120000,130000,120.0,130.0,10.0
vggtest_0XSNrKgA94g_30000_40000,0XSNrKgA94g,30000,40000,30.0,40.0,10.0
vggtest_0XxinBtKouQ_30000_40000,0XxinBtKouQ,30000,40000,30.0,40.0,10.0
vggtest_0YIWrXgCjiM_30000_40000,0YIWrXgCjiM,30000,40000,30.0,40.0,10.0
vggtest_0YI_WYJVv2M_30000_40000,0YI_WYJVv2M,30000,40000,30.0,40.0,10.0
vggtest_0YTieIiZNN4_10000_20000,0YTieIiZNN4,10000,20000,10.0,20.0,10.0
vggtest_0YiyCktu7bs_1000_11000,0YiyCktu7bs,1000,11000,1.0,11.0,10.0
vggtest_0Z760XNy4VM_30000_40000,0Z760XNy4VM,30000,40000,30.0,40.0,10.0
vggtest_0ZxpQ87jdgQ_37000_47000,0ZxpQ87jdgQ,37000,47000,37.0,47.0,10.0
vggtest_0_8-g2rof7E_49000_59000,0_8-g2rof7E,49000,59000,49.0,59.0,10.0
vggtest_0_9-dbUW0hU_30000_40000,0_9-dbUW0hU,30000,40000,30.0,40.0,10.0
vggtest_0_B2YnBAz3A_220000_230000,0_B2YnBAz3A,220000,230000,220.0,230.0,10.0
vggtest_0_FFqLukmHk_80000_90000,0_FFqLukmHk,80000,90000,80.0,90.0,10.0
vggtest_0_O6nVfnCH8_210000_220000,0_O6nVfnCH8,210000,220000,210.0,220.0,10.0
vggtest_0a264PE9qEY_24000_34000,0a264PE9qEY,24000,34000,24.0,34.0,10.0
vggtest_0aaLWD7TUSU_30000_40000,0aaLWD7TUSU,30000,40000,30.0,40.0,10.0
vggtest_0bBJkY4_zs8_33000_43000,0bBJkY4_zs8,33000,43000,33.0,43.0,10.0
vggtest_0bKpv6YBl7g_50000_60000,0bKpv6YBl7g,50000,60000,50.0,60.0,10.0
vggtest_0c78GAZ0jLY_5000_15000,0c78GAZ0jLY,5000,15000,5.0,15.0,10.0
vggtest_0cNYPgD6cEA_30000_40000,0cNYPgD6cEA,30000,40000,30.0,40.0,10.0
vggtest_0d6YdyxkXzQ_815000_825000,0d6YdyxkXzQ,815000,825000,815.0,825.0,10.0
vggtest_0dC1f6bdyr4_142000_152000,0dC1f6bdyr4,142000,152000,142.0,152.0,10.0
vggtest_0dC6Ay0oqWk_30000_40000,0dC6Ay0oqWk,30000,40000,30.0,40.0,10.0
vggtest_0dUL0EweBEY_387000_397000,0dUL0EweBEY,387000,397000,387.0,397.0,10.0
vggtest_0dUL0EweBEY_423000_433000,0dUL0EweBEY,423000,433000,423.0,433.0,10.0
vggtest_0dd6AlyOnfc_30000_40000,0dd6AlyOnfc,30000,40000,30.0,40.0,10.0
vggtest_0eDN0YmnJRY_2000_12000,0eDN0YmnJRY,2000,12000,2.0,12.0,10.0
vggtest_0eTrzI5-ong_30000_40000,0eTrzI5-ong,30000,40000,30.0,40.0,10.0
vggtest_0eZHWqzsRqU_5000_15000,0eZHWqzsRqU,5000,15000,5.0,15.0,10.0
vggtest_0foC-4n-eH0_0_10000,0foC-4n-eH0,0,10000,0.0,10.0,10.0
vggtest_0fqtA_ZBn_8_30000_40000,0fqtA_ZBn_8,30000,40000,30.0,40.0,10.0
vggtest_0fsFWLev-q4_257000_267000,0fsFWLev-q4,257000,267000,257.0,267.0,10.0
vggtest_0g4SlqjORM4_80000_90000,0g4SlqjORM4,80000,90000,80.0,90.0,10.0
vggtest_0g_-KI5NZ-E_30000_40000,0g_-KI5NZ-E,30000,40000,30.0,40.0,10.0
vggtest_0glBUluF4Yk_175000_185000,0glBUluF4Yk,175000,185000,175.0,185.0,10.0
vggtest_0hOD_iIeePk_30000_40000,0hOD_iIeePk,30000,40000,30.0,40.0,10.0
vggtest_0hWIKYNSEPE_80000_90000,0hWIKYNSEPE,80000,90000,80.0,90.0,10.0
vggtest_0he6VV5Y9Bg_30000_40000,0he6VV5Y9Bg,30000,40000,30.0,40.0,10.0
vggtest_0hfU27A6tus_70000_80000,0hfU27A6tus,70000,80000,70.0,80.0,10.0
vggtest_0hjqlmdPT6g_50000_60000,0hjqlmdPT6g,50000,60000,50.0,60.0,10.0
vggtest_0iX0QmnbrK4_85000_95000,0iX0QmnbrK4,85000,95000,85.0,95.0,10.0
vggtest_0iiwZ2_9Vi8_90000_100000,0iiwZ2_9Vi8,90000,100000,90.0,100.0,10.0
vggtest_0izHOfrwPn4_180000_190000,0izHOfrwPn4,180000,190000,180.0,190.0,10.0
vggtest_0jiu0RNizU8_160000_170000,0jiu0RNizU8,160000,170000,160.0,170.0,10.0
vggtest_0ju5RWqEwGQ_108000_118000,0ju5RWqEwGQ,108000,118000,108.0,118.0,10.0
vggtest_0ju5RWqEwGQ_33000_43000,0ju5RWqEwGQ,33000,43000,33.0,43.0,10.0
vggtest_0jy-sVREk4o_30000_40000,0jy-sVREk4o,30000,40000,30.0,40.0,10.0
vggtest_0kK-PnupAow_86000_96000,0kK-PnupAow,86000,96000,86.0,96.0,10.0
vggtest_0kqQNBR09Rc_90000_100000,0kqQNBR09Rc,90000,100000,90.0,100.0,10.0
vggtest_0loP4WNnL2k_0_10000,0loP4WNnL2k,0,10000,0.0,10.0,10.0
vggtest_0m9-5BkL4Mc_30000_40000,0m9-5BkL4Mc,30000,40000,30.0,40.0,10.0
vggtest_0mNvPaqfwUI_220000_230000,0mNvPaqfwUI,220000,230000,220.0,230.0,10.0
vggtest_0mZQ6Q-viPw_10000_20000,0mZQ6Q-viPw,10000,20000,10.0,20.0,10.0
vggtest_0n56ajMNoMA_118000_128000,0n56ajMNoMA,118000,128000,118.0,128.0,10.0
vggtest_0nYltlo90Zc_147000_157000,0nYltlo90Zc,147000,157000,147.0,157.0,10.0
vggtest_0nYltlo90Zc_161000_171000,0nYltlo90Zc,161000,171000,161.0,171.0,10.0
vggtest_0nib7bMm8BA_15000_25000,0nib7bMm8BA,15000,25000,15.0,25.0,10.0
vggtest_0nvBTp-q7tU_112000_122000,0nvBTp-q7tU,112000,122000,112.0,122.0,10.0
vggtest_0olhNr566Z0_18000_28000,0olhNr566Z0,18000,28000,18.0,28.0,10.0
vggtest_0onKcFY1Tu0_2000_12000,0onKcFY1Tu0,2000,12000,2.0,12.0,10.0
vggtest_0pHTgC1Frnw_350000_360000,0pHTgC1Frnw,350000,360000,350.0,360.0,10.0
vggtest_0q6GOUn_dhU_66000_76000,0q6GOUn_dhU,66000,76000,66.0,76.0,10.0
vggtest_0q9FUj_2qMc_539000_549000,0q9FUj_2qMc,539000,549000,539.0,549.0,10.0
vggtest_0s62qg0kfJE_13000_23000,0s62qg0kfJE,13000,23000,13.0,23.0,10.0
vggtest_0sT6vnChbrc_0_10000,0sT6vnChbrc,0,10000,0.0,10.0,10.0
vggtest_0slFEpnTKkY_115000_125000,0slFEpnTKkY,115000,125000,115.0,125.0,10.0
vggtest_0ssOpzqkojU_30000_40000,0ssOpzqkojU,30000,40000,30.0,40.0,10.0
vggtest_0t1jQa_Lj_E_130000_140000,0t1jQa_Lj_E,130000,140000,130.0,140.0,10.0
vggtest_0u5dddSWuj8_30000_40000,0u5dddSWuj8,30000,40000,30.0,40.0,10.0
vggtest_0uMEyyhzaqU_34000_44000,0uMEyyhzaqU,34000,44000,34.0,44.0,10.0
vggtest_0unbxXUE_c0_114000_124000,0unbxXUE_c0,114000,124000,114.0,124.0,10.0
vggtest_0ut4if4B6zM_56000_66000,0ut4if4B6zM,56000,66000,56.0,66.0,10.0
vggtest_0vFPs6XsU_Q_30000_40000,0vFPs6XsU_Q,30000,40000,30.0,40.0,10.0
vggtest_0vg9qxNKXOw_30000_40000,0vg9qxNKXOw,30000,40000,30.0,40.0,10.0
vggtest_0w7pCxwXzVc_120000_130000,0w7pCxwXzVc,120000,130000,120.0,130.0,10.0
vggtest_0w9PLY1owzk_108000_118000,0w9PLY1owzk,108000,118000,108.0,118.0,10.0
vggtest_0welW-8hB1c_71000_81000,0welW-8hB1c,71000,81000,71.0,81.0,10.0
vggtest_0wzsE67O5tE_230000_240000,0wzsE67O5tE,230000,240000,230.0,240.0,10.0
vggtest_0x9TnOQ5Nhw_20000_30000,0x9TnOQ5Nhw,20000,30000,20.0,30.0,10.0
vggtest_0xDlT_u31fg_30000_40000,0xDlT_u31fg,30000,40000,30.0,40.0,10.0
vggtest_0yxJzCQW5zI_30000_40000,0yxJzCQW5zI,30000,40000,30.0,40.0,10.0
vggtest_1-feQHDL-Qo_30000_40000,1-feQHDL-Qo,30000,40000,30.0,40.0,10.0
vggtest_14tRPoQA4q0_4000_14000,14tRPoQA4q0,4000,14000,4.0,14.0,10.0
vggtest_15aMq3FEyjQ_26000_36000,15aMq3FEyjQ,26000,36000,26.0,36.0,10.0
vggtest_1B-RuZgSqf8_30000_40000,1B-RuZgSqf8,30000,40000,30.0,40.0,10.0
vggtest_1BivKH8w7Fo_37000_47000,1BivKH8w7Fo,37000,47000,37.0,47.0,10.0
vggtest_1BivKH8w7Fo_82000_92000,1BivKH8w7Fo,82000,92000,82.0,92.0,10.0
